"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","g","nu_fluid","p","taw","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,2.8568e-06,0,0,0,0,0,0,0,0,0,1.7355e-05,548.96,0.0047636,0.0015697,0,1,0,0.065,0,0.01
1.1351e-07,1.4083e-11,1.1129e-09,-7.1094e-11,2.8695e-06,1.4558e-11,1.1128e-09,-7.0188e-11,1.8546e-07,-6.1368e-08,3.5563e-07,1.8546e-07,-6.1368e-08,3.5563e-07,1.7427e-05,188.7,0.0016375,0.00053958,-7.0493e-29,1,0.00025,0.06525,0,0.01
1.68e-07,1.2395e-11,1.6526e-09,-9.4229e-11,2.8801e-06,1.2952e-11,1.6524e-09,-9.2794e-11,2.1802e-07,-8.5827e-08,5.6334e-07,2.1802e-07,-8.5827e-08,5.6334e-07,1.7498e-05,102.93,0.00089318,0.00029432,-1.8219e-13,1,0.0005,0.0655,0,0.01
2.2249e-07,1.0706e-11,2.1923e-09,-1.1736e-10,2.8908e-06,1.1347e-11,2.1921e-09,-1.154e-10,2.5059e-07,-1.1029e-07,7.7106e-07,2.5059e-07,-1.1029e-07,7.7106e-07,1.757e-05,17.155,0.00014886,4.9054e-05,-8.4592e-28,1,0.00075001,0.06575,0,0.01
2.9225e-07,3.3051e-12,2.8954e-09,-1.3272e-10,2.9309e-06,3.7815e-12,2.8951e-09,-1.3004e-10,1.8588e-07,-1.2245e-07,1.0545e-06,1.8588e-07,-1.2245e-07,1.0545e-06,1.776e-05,1e-10,0,1e-10,3.5247e-29,1,0.001,0.066,0,0.01
3.6582e-07,-5.5237e-12,3.6392e-09,-1.4614e-10,2.9783e-06,-5.2741e-12,3.6389e-09,-1.4268e-10,9.684e-08,-1.3155e-07,1.3568e-06,9.684e-08,-1.3155e-07,1.3568e-06,1.798e-05,1e-10,0,1e-10,1.3604e-14,1,0.00125,0.06625,0,0.01
4.3939e-07,-1.4353e-11,4.383e-09,-1.5955e-10,3.0258e-06,-1.433e-11,4.3827e-09,-1.5532e-10,7.8022e-09,-1.4064e-07,1.6591e-06,7.8022e-09,-1.4064e-07,1.6591e-06,1.8199e-05,1e-10,0,1e-10,7.0493e-29,1,0.0015,0.0665,0,0.01
5.16e-07,-2.0547e-11,5.1681e-09,-1.7153e-10,3.1081e-06,-2.0916e-11,5.1678e-09,-1.6666e-10,-1.4589e-07,-1.3536e-07,1.9092e-06,-1.4589e-07,-1.3536e-07,1.9092e-06,1.8518e-05,1e-10,0,1e-10,-7.0493e-29,1,0.00175,0.06675,0,0.01
5.9462e-07,-2.4986e-11,5.9806e-09,-1.8254e-10,3.2136e-06,-2.5856e-11,5.9804e-09,-1.7712e-10,-3.427e-07,-1.205e-07,2.1243e-06,-3.427e-07,-1.205e-07,2.1243e-06,1.8903e-05,1e-10,0,1e-10,0,1,0.002,0.067,0,0.01
6.7325e-07,-2.9424e-11,6.7932e-09,-1.9355e-10,3.3192e-06,-3.0796e-11,6.7929e-09,-1.8758e-10,-5.395e-07,-1.0563e-07,2.3395e-06,-5.395e-07,-1.0563e-07,2.3395e-06,1.9288e-05,1e-10,0,1e-10,-7.0493e-29,1,0.00225,0.06725,0,0.01
