"w","U:0","U:1","U:2","StrainRate","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.000136,21.274,0.0098013,0,1,0,0.065,0,0.02
6.1607e-06,1.1447e-11,6.0594e-08,-2.09e-10,0.00013805,7.9778,0.0036755,4.9566e-32,1,0.00025,0.06525,0,0.02
8.7979e-06,-1.0679e-11,8.6835e-08,-2.8165e-10,0.00013905,5.3185,0.0024503,0,1,0.0005,0.0655,0,0.02
1.1435e-05,-3.2805e-11,1.1308e-07,-3.5431e-10,0.00014006,2.6592,0.0012251,-2.4783e-32,1,0.00075001,0.06575,0,0.02
1.4073e-05,-5.493e-11,1.3932e-07,-4.2697e-10,0.00014107,-1.0732e-13,-4.8953e-17,-9.9133e-32,1,0.001,0.066,0,0.02
1.7682e-05,-1.2394e-10,1.7612e-07,-4.8662e-10,0.00014375,0,0,-4.9566e-32,1,0.00125,0.06625,0,0.02
2.1291e-05,-1.9294e-10,2.1292e-07,-5.4628e-10,0.00014644,0,0,0,1,0.0015,0.0665,0,0.02
2.4901e-05,-2.6195e-10,2.4972e-07,-6.0594e-10,0.00014913,0,0,0,1,0.00175,0.06675,0,0.02
2.851e-05,-3.3095e-10,2.8652e-07,-6.6559e-10,0.00015181,0,0,0,1,0.002,0.067,0,0.02
3.2448e-05,-4.2443e-10,3.2776e-07,-6.9002e-10,0.00015735,0,0,-2.4783e-32,1,0.00225,0.06725,0,0.02
3.6387e-05,-5.1792e-10,3.6901e-07,-7.1446e-10,0.00016288,0,0,0,1,0.0025,0.0675,0,0.02
4.0325e-05,-6.114e-10,4.1025e-07,-7.3889e-10,0.00016841,0,0,4.9566e-32,1,0.00275,0.06775,0,0.02
4.4264e-05,-7.0488e-10,4.5149e-07,-7.6332e-10,0.00017395,-1.2971e-13,-6.9656e-17,1.9827e-31,1,0.003,0.068,0,0.02
4.8843e-05,-8.3923e-10,5.0055e-07,-7.4244e-10,0.00018372,0,0,4.9566e-32,1,0.00325,0.06825,0,0.02
5.3422e-05,-9.7357e-10,5.496e-07,-7.2157e-10,0.00019349,0,0,2.079e-25,1,0.0035,0.0685,0,0.02
5.8002e-05,-1.1079e-09,5.9866e-07,-7.0069e-10,0.00020326,0,0,-4.9566e-32,1,0.00375,0.06875,0,0.02
6.2581e-05,-1.2423e-09,6.4771e-07,-6.7982e-10,0.00021303,0,0,0,1,0.004,0.069,0,0.02
6.8277e-05,-1.4324e-09,7.0987e-07,-5.8505e-10,0.00023101,5.2934e-14,3.4832e-17,-4.9566e-32,1,0.00425,0.06925,0,0.02
7.3973e-05,-1.6224e-09,7.7202e-07,-4.9029e-10,0.00024899,0,0,0,1,0.0045,0.0695,0,0.02
7.9669e-05,-1.8125e-09,8.3418e-07,-3.9552e-10,0.00026696,0,0,-4.9566e-32,1,0.00475,0.06975,0,0.02
8.5365e-05,-2.0026e-09,8.9633e-07,-3.0076e-10,0.00028494,0,0,0,1,0.005,0.07,0,0.02
9.3204e-05,-2.2711e-09,9.8301e-07,-7.2298e-11,0.0003243,3.9093e-14,3.2656e-17,0,1,0.00525,0.07025,0,0.02
0.00010104,-2.5396e-09,1.0697e-06,1.5617e-10,0.00036365,0,0,0,1,0.0055,0.0705,0,0.02
0.00010888,-2.8081e-09,1.1564e-06,3.8463e-10,0.00040301,0,0,-2.4783e-32,1,0.00575,0.07075,0,0.02
0.00011672,-3.0766e-09,1.2431e-06,6.131e-10,0.00044236,0,0,-9.9133e-32,1,0.006,0.071,0,0.02
0.00012956,-3.4767e-09,1.3861e-06,1.1205e-09,0.00054846,-2.8999e-14,-3.4834e-17,3.0454e-28,1,0.00625,0.07125,0,0.02
0.00014241,-3.8767e-09,1.5292e-06,1.6279e-09,0.00065455,-2.5703e-14,-3.4834e-17,1.58e-22,1,0.0065,0.0715,0,0.02
0.00015525,-4.2768e-09,1.6723e-06,2.1353e-09,0.00076065,0,0,-3.0454e-28,1,0.00675,0.07175,0,0.02
0.00016809,-4.6768e-09,1.8154e-06,2.6427e-09,0.00086674,-1.9111e-14,-3.4834e-17,2.8423e-27,1,0.007,0.072,0,0.02
