"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.5369e-06,-2.558e-10,1.4982e-08,-1.2335e-10,7.5162e-05,-2.558e-10,1.4982e-08,-1.2335e-10,4.9366e-11,-2.5763e-09,1.221e-11,4.9366e-11,-2.5763e-09,1.221e-11,8.4691,0.002445,-1.1279e-27,1,0,0.065,0,0.02
2.9943e-06,-5.5036e-10,2.9421e-08,-1.8466e-10,7.6127e-05,-5.5037e-10,2.9422e-08,-1.8466e-10,9.8472e-11,-4.8955e-09,1.7776e-11,9.8472e-11,-4.8955e-09,1.7776e-11,5.8225,0.0016809,-1.4099e-28,1,0.00025,0.06525,0,0.02
4.4517e-06,-8.4491e-10,4.386e-08,-2.4598e-10,7.7093e-05,-8.4493e-10,4.3861e-08,-2.4598e-10,1.4758e-10,-7.2147e-09,2.3342e-11,1.4758e-10,-7.2147e-09,2.3342e-11,3.1759,0.00091689,-1.8219e-13,1,0.0005,0.0655,0,0.02
5.9091e-06,-1.1395e-09,5.83e-08,-3.0729e-10,7.8058e-05,-1.1395e-09,5.8301e-08,-3.073e-10,1.9668e-10,-9.5339e-09,2.8909e-11,1.9668e-10,-9.5339e-09,2.8909e-11,0.52932,0.00015282,-8.4592e-28,1,0.00075001,0.06575,0,0.02
7.821e-06,-1.5497e-09,7.7558e-08,-3.4977e-10,7.9989e-05,-1.5497e-09,7.7559e-08,-3.4977e-10,2.5853e-10,-1.2372e-08,3.2036e-11,2.5853e-10,-1.2372e-08,3.2036e-11,1e-10,0,7.0493e-29,1,0.001,0.066,0,0.02
9.8466e-06,-1.9888e-09,9.8021e-08,-3.8753e-10,8.2161e-05,-1.9888e-09,9.8022e-08,-3.8753e-10,3.2357e-10,-1.5339e-08,3.4553e-11,3.2357e-10,-1.5339e-08,3.4553e-11,1e-10,0,1.3604e-14,1,0.00125,0.06625,0,0.02
1.1872e-05,-2.4279e-09,1.1848e-07,-4.2529e-10,8.4334e-05,-2.4279e-09,1.1849e-07,-4.2529e-10,3.8861e-10,-1.8307e-08,3.7071e-11,3.8861e-10,-1.8307e-08,3.7071e-11,1e-10,0,7.0493e-29,1,0.0015,0.0665,0,0.02
1.4023e-05,-2.8942e-09,1.405e-07,-4.584e-10,8.7468e-05,-2.8943e-09,1.405e-07,-4.584e-10,4.5216e-10,-2.1232e-08,3.8871e-11,4.5216e-10,-2.1232e-08,3.8871e-11,1e-10,0,0,1,0.00175,0.06675,0,0.02
1.6257e-05,-3.3788e-09,1.6356e-07,-4.884e-10,9.1243e-05,-3.3789e-09,1.6356e-07,-4.8841e-10,5.1473e-10,-2.413e-08,4.0193e-11,5.1473e-10,-2.413e-08,4.0193e-11,1e-10,0,0,1,0.002,0.067,0,0.02
1.8491e-05,-3.8634e-09,1.8662e-07,-5.1841e-10,9.5019e-05,-3.8634e-09,1.8662e-07,-5.1841e-10,5.7729e-10,-2.7028e-08,4.1516e-11,5.7729e-10,-2.7028e-08,4.1516e-11,1e-10,0,-1.4099e-28,1,0.00225,0.06725,0,0.02
2.0859e-05,-4.3833e-09,2.1126e-07,-5.4831e-10,9.9463e-05,-4.3834e-09,2.1126e-07,-5.4831e-10,6.4032e-10,-2.9945e-08,4.2707e-11,6.4032e-10,-2.9945e-08,4.2707e-11,1e-10,0,-7.0493e-29,1,0.0025,0.0675,0,0.02
2.3429e-05,-4.9563e-09,2.3829e-07,-5.7806e-10,0.00010491,-4.9563e-09,2.3829e-07,-5.7806e-10,7.0404e-10,-3.2891e-08,4.3703e-11,7.0404e-10,-3.2891e-08,4.3703e-11,1.0009e-10,3.3716e-17,1.2687e-14,1,0.00275,0.06775,0,0.02
2.6e-05,-5.5292e-09,2.6532e-07,-6.0781e-10,0.00011036,-5.5293e-09,2.6533e-07,-6.0781e-10,7.6776e-10,-3.5837e-08,4.4699e-11,7.6776e-10,-3.5837e-08,4.4699e-11,1e-10,0,-3.5247e-29,1,0.003,0.068,0,0.02
2.8661e-05,-6.126e-09,2.9342e-07,-6.3747e-10,0.00011615,-6.1261e-09,2.9343e-07,-6.3747e-10,8.3235e-10,-3.8824e-08,4.5679e-11,8.3235e-10,-3.8824e-08,4.5679e-11,1e-10,0,1.4099e-28,1,0.00325,0.06825,0,0.02
3.1689e-05,-6.8184e-09,3.258e-07,-6.6678e-10,0.00012332,-6.8185e-09,3.258e-07,-6.6679e-10,9.0045e-10,-4.1976e-08,4.6597e-11,9.0045e-10,-4.1976e-08,4.6597e-11,1e-10,0,4.9028e-14,1,0.0035,0.0685,0,0.02
3.4716e-05,-7.5107e-09,3.5818e-07,-6.961e-10,0.00013049,-7.5108e-09,3.5818e-07,-6.961e-10,9.6854e-10,-4.5127e-08,4.7514e-11,9.6854e-10,-4.5127e-08,4.7514e-11,1e-10,0,1.7623e-29,1,0.00375,0.06875,0,0.02
3.7743e-05,-8.203e-09,3.9055e-07,-7.2541e-10,0.00013766,-8.2032e-09,3.9056e-07,-7.2542e-10,1.0366e-09,-4.8278e-08,4.8431e-11,1.0366e-09,-4.8278e-08,4.8431e-11,1.0007e-10,3.372e-17,1.4099e-28,1,0.004,0.069,0,0.02
4.1354e-05,-9.0457e-09,4.2977e-07,-7.5473e-10,0.00014693,-9.0458e-09,4.2978e-07,-7.5473e-10,1.1141e-09,-5.1885e-08,4.962e-11,1.1141e-09,-5.1885e-08,4.962e-11,9.9927e-11,-3.4808e-17,3.5247e-29,1,0.00425,0.06925,0,0.02
4.4966e-05,-9.8884e-09,4.6899e-07,-7.8404e-10,0.0001562,-9.8885e-09,4.6899e-07,-7.8404e-10,1.1916e-09,-5.5491e-08,5.0808e-11,1.1916e-09,-5.5491e-08,5.0808e-11,1e-10,0,4.7215e-14,1,0.0045,0.0695,0,0.02
4.8577e-05,-1.0731e-08,5.082e-07,-8.1335e-10,0.00016547,-1.0731e-08,5.0821e-07,-8.1335e-10,1.2691e-09,-5.9097e-08,5.1997e-11,1.2691e-09,-5.9097e-08,5.1997e-11,1e-10,0,-7.0493e-29,1,0.00475,0.06975,0,0.02
5.2791e-05,-1.1728e-08,5.5449e-07,-8.4318e-10,0.00017739,-1.1728e-08,5.545e-07,-8.4319e-10,1.3625e-09,-6.347e-08,5.3825e-11,1.3625e-09,-6.347e-08,5.3825e-11,1.0006e-10,3.3722e-17,0,1,0.005,0.07,0,0.02
5.7155e-05,-1.2764e-08,6.0255e-07,-8.7315e-10,0.00018997,-1.2764e-08,6.0256e-07,-8.7315e-10,1.4599e-09,-6.8034e-08,5.5813e-11,1.4599e-09,-6.8034e-08,5.5813e-11,1.0012e-10,6.7445e-17,-3.9789e-14,1,0.00525,0.07025,0,0.02
6.152e-05,-1.38e-08,6.5061e-07,-9.0311e-10,0.00020255,-1.38e-08,6.5062e-07,-9.0312e-10,1.5573e-09,-7.2599e-08,5.7801e-11,1.5573e-09,-7.2599e-08,5.7801e-11,1.0006e-10,3.3723e-17,-5.6395e-28,1,0.0055,0.0705,0,0.02
6.6515e-05,-1.4997e-08,7.0605e-07,-9.3418e-10,0.00021919,-1.4997e-08,7.0606e-07,-9.3419e-10,1.6827e-09,-7.85e-08,6.0884e-11,1.6827e-09,-7.85e-08,6.0884e-11,1e-10,0,1.0574e-28,1,0.00575,0.07075,0,0.02
7.1932e-05,-1.63e-08,7.6642e-07,-9.6599e-10,0.00023854,-1.63e-08,7.6643e-07,-9.6599e-10,1.827e-09,-8.5291e-08,6.4698e-11,1.827e-09,-8.5291e-08,6.4698e-11,1e-10,0,0,1,0.006,0.071,0,0.02
7.7348e-05,-1.7604e-08,8.2679e-07,-9.9779e-10,0.00025788,-1.7604e-08,8.268e-07,-9.978e-10,1.9712e-09,-9.2083e-08,6.8511e-11,1.9712e-09,-9.2083e-08,6.8511e-11,1.0005e-10,3.3724e-17,1.0574e-28,1,0.00625,0.07125,0,0.02
8.3452e-05,-1.908e-08,8.9512e-07,-1.0315e-09,0.00028398,-1.908e-08,8.9513e-07,-1.0315e-09,2.1657e-09,-1.0124e-07,7.4e-11,2.1657e-09,-1.0124e-07,7.4e-11,1e-10,0,0,1,0.0065,0.0715,0,0.02
9.0586e-05,-2.0815e-08,9.7539e-07,-1.0679e-09,0.0003202,-2.0815e-08,9.754e-07,-1.0679e-09,2.4355e-09,-1.1393e-07,8.2004e-11,2.4355e-09,-1.1393e-07,8.2004e-11,1.0004e-10,3.3725e-17,1.1231e-14,1,0.00675,0.07175,0,0.02
9.7721e-05,-2.255e-08,1.0557e-06,-1.1044e-09,0.00035642,-2.255e-08,1.0557e-06,-1.1044e-09,2.7053e-09,-1.2662e-07,9.0008e-11,2.7053e-09,-1.2662e-07,9.0008e-11,1e-10,0,3.5247e-29,1,0.007,0.072,0,0.02
0.00010555,-2.4456e-08,1.1439e-06,-1.1432e-09,0.0004022,-2.4457e-08,1.1439e-06,-1.1432e-09,3.0497e-09,-1.428e-07,1.0007e-10,3.0497e-09,-1.428e-07,1.0007e-10,1e-10,0,2.8197e-28,1,0.00725,0.07225,0,0.02
0.00011615,-2.7049e-08,1.2638e-06,-1.1914e-09,0.00048625,-2.705e-08,1.2638e-06,-1.1914e-09,3.6927e-09,-1.7289e-07,1.1838e-10,3.6927e-09,-1.7289e-07,1.1838e-10,1e-10,0,4.3486e-14,1,0.0075,0.0725,0,0.02
0.00012675,-2.9642e-08,1.3837e-06,-1.2395e-09,0.0005703,-2.9643e-08,1.3837e-06,-1.2395e-09,4.3357e-09,-2.0298e-07,1.3669e-10,4.3357e-09,-2.0298e-07,1.3669e-10,1.0003e-10,3.3726e-17,1.7623e-29,1,0.00775,0.07275,0,0.02
0.00013735,-3.2235e-08,1.5036e-06,-1.2877e-09,0.00065435,-3.2236e-08,1.5037e-06,-1.2877e-09,4.9787e-09,-2.3307e-07,1.5499e-10,4.9787e-09,-2.3307e-07,1.5499e-10,1e-10,0,4.2296e-28,1,0.008,0.073,0,0.02
0.00015649,-3.6929e-08,1.7206e-06,-1.3657e-09,0.00088519,-3.693e-08,1.7207e-06,-1.3657e-09,6.8172e-09,-3.1862e-07,2.0007e-10,6.8172e-09,-3.1862e-07,2.0007e-10,1e-10,0,2.1148e-28,1,0.00825,0.07325,0,0.02
0.00017564,-4.1624e-08,1.9377e-06,-1.4437e-09,0.001116,-4.1624e-08,1.9377e-06,-1.4437e-09,8.6557e-09,-4.0417e-07,2.4514e-10,8.6557e-09,-4.0417e-07,2.4514e-10,1e-10,0,2.2912e-13,1,0.0085,0.0735,0,0.02
0.00019478,-4.6318e-08,2.1547e-06,-1.5217e-09,0.0013469,-4.6319e-08,2.1547e-06,-1.5218e-09,1.0494e-08,-4.8971e-07,2.9021e-10,1.0494e-08,-4.8971e-07,2.9021e-10,1.0001e-10,3.3726e-17,1.6918e-27,1,0.00875,0.07375,0,0.02
0.00023333,-5.5797e-08,2.5925e-06,-1.6615e-09,0.0019491,-5.5798e-08,2.5925e-06,-1.6616e-09,1.5577e-08,-7.2529e-07,3.9301e-10,1.5577e-08,-7.2529e-07,3.9301e-10,9.999e-11,-3.4814e-17,-7.0493e-29,1,0.009,0.074,0,0.02
